rollup_timestamp	database	value
2018-06-01	8237bf33-d19c-4910-9206-c6d43f0b498f	549.0
2018-06-02	8237bf33-d19c-4910-9206-c6d43f0b498f	527.0
2018-06-03	8237bf33-d19c-4910-9206-c6d43f0b498f	55.0
2018-06-04	8237bf33-d19c-4910-9206-c6d43f0b498f	502.0
2018-06-05	8237bf33-d19c-4910-9206-c6d43f0b498f	625.0
2018-06-06	8237bf33-d19c-4910-9206-c6d43f0b498f	516.0
2018-06-07	8237bf33-d19c-4910-9206-c6d43f0b498f	532.0
2018-06-08	8237bf33-d19c-4910-9206-c6d43f0b498f	495.0
2018-06-09	8237bf33-d19c-4910-9206-c6d43f0b498f	591.0
2018-06-10	8237bf33-d19c-4910-9206-c6d43f0b498f	499.0
2018-06-11	8237bf33-d19c-4910-9206-c6d43f0b498f	533.0
2018-06-12	8237bf33-d19c-4910-9206-c6d43f0b498f	583.0
2018-06-13	8237bf33-d19c-4910-9206-c6d43f0b498f	576.0
2018-06-14	8237bf33-d19c-4910-9206-c6d43f0b498f	495.0
2018-06-15	8237bf33-d19c-4910-9206-c6d43f0b498f	533.0
2018-06-16	8237bf33-d19c-4910-9206-c6d43f0b498f	541.0
2018-06-17	8237bf33-d19c-4910-9206-c6d43f0b498f	532.0
2018-06-18	8237bf33-d19c-4910-9206-c6d43f0b498f	504.0
2018-06-19	8237bf33-d19c-4910-9206-c6d43f0b498f	591.0
2018-06-20	8237bf33-d19c-4910-9206-c6d43f0b498f	629.0
2018-06-21	8237bf33-d19c-4910-9206-c6d43f0b498f	556.0
2018-06-22	8237bf33-d19c-4910-9206-c6d43f0b498f	48.0
2018-06-23	8237bf33-d19c-4910-9206-c6d43f0b498f	625.0
2018-06-24	8237bf33-d19c-4910-9206-c6d43f0b498f	488.0
2018-06-25	8237bf33-d19c-4910-9206-c6d43f0b498f	555.0
2018-06-26	8237bf33-d19c-4910-9206-c6d43f0b498f	693.0
2018-06-27	8237bf33-d19c-4910-9206-c6d43f0b498f	646.0
2018-06-28	8237bf33-d19c-4910-9206-c6d43f0b498f	483.0
2018-06-29	8237bf33-d19c-4910-9206-c6d43f0b498f	553.0
2018-06-30	8237bf33-d19c-4910-9206-c6d43f0b498f	525.0
2018-07-01	8237bf33-d19c-4910-9206-c6d43f0b498f	555.0
2018-07-02	8237bf33-d19c-4910-9206-c6d43f0b498f	487.0
2018-07-03	8237bf33-d19c-4910-9206-c6d43f0b498f	557.0
2018-07-04	8237bf33-d19c-4910-9206-c6d43f0b498f	507.0
2018-07-05	8237bf33-d19c-4910-9206-c6d43f0b498f	537.0
2018-07-06	8237bf33-d19c-4910-9206-c6d43f0b498f	497.0
2018-07-07	8237bf33-d19c-4910-9206-c6d43f0b498f	594.0
2018-07-08	8237bf33-d19c-4910-9206-c6d43f0b498f	499.0
2018-07-09	8237bf33-d19c-4910-9206-c6d43f0b498f	534.0
2018-07-10	8237bf33-d19c-4910-9206-c6d43f0b498f	828.0
2018-07-11	8237bf33-d19c-4910-9206-c6d43f0b498f	809.0
2018-07-12	8237bf33-d19c-4910-9206-c6d43f0b498f	496.0
2018-07-13	8237bf33-d19c-4910-9206-c6d43f0b498f	535.0
2018-07-14	8237bf33-d19c-4910-9206-c6d43f0b498f	54.0
2018-07-15	8237bf33-d19c-4910-9206-c6d43f0b498f	532.0
2018-07-16	8237bf33-d19c-4910-9206-c6d43f0b498f	504.0
2018-07-17	8237bf33-d19c-4910-9206-c6d43f0b498f	536.0
2018-07-18	8237bf33-d19c-4910-9206-c6d43f0b498f	498.0
2018-07-19	8237bf33-d19c-4910-9206-c6d43f0b498f	534.0
2018-07-20	8237bf33-d19c-4910-9206-c6d43f0b498f	496.0
2018-07-21	8237bf33-d19c-4910-9206-c6d43f0b498f	587.0
2018-07-22	8237bf33-d19c-4910-9206-c6d43f0b498f	483.0
2018-07-23	8237bf33-d19c-4910-9206-c6d43f0b498f	549.0
2018-07-24	8237bf33-d19c-4910-9206-c6d43f0b498f	561.0
2018-07-25	8237bf33-d19c-4910-9206-c6d43f0b498f	609.0
2018-07-26	8237bf33-d19c-4910-9206-c6d43f0b498f	48.0
2018-07-27	8237bf33-d19c-4910-9206-c6d43f0b498f	559.0
2018-07-28	8237bf33-d19c-4910-9206-c6d43f0b498f	532.0
2018-07-29	8237bf33-d19c-4910-9206-c6d43f0b498f	558.0
2018-07-30	8237bf33-d19c-4910-9206-c6d43f0b498f	49.0
2018-07-31	8237bf33-d19c-4910-9206-c6d43f0b498f	704.0
2018-08-01	8237bf33-d19c-4910-9206-c6d43f0b498f	741.0
2018-08-02	8237bf33-d19c-4910-9206-c6d43f0b498f	579.0
2018-08-03	8237bf33-d19c-4910-9206-c6d43f0b498f	486.0
2018-08-04	8237bf33-d19c-4910-9206-c6d43f0b498f	623.0
2018-08-05	8237bf33-d19c-4910-9206-c6d43f0b498f	508.0
2018-08-06	8237bf33-d19c-4910-9206-c6d43f0b498f	535.0
2018-08-07	8237bf33-d19c-4910-9206-c6d43f0b498f	5.0
2018-08-08	8237bf33-d19c-4910-9206-c6d43f0b498f	538.0
2018-08-09	8237bf33-d19c-4910-9206-c6d43f0b498f	498.0
2018-08-10	8237bf33-d19c-4910-9206-c6d43f0b498f	54.0
2018-08-11	8237bf33-d19c-4910-9206-c6d43f0b498f	542.0
2018-08-12	8237bf33-d19c-4910-9206-c6d43f0b498f	536.0
2018-08-13	8237bf33-d19c-4910-9206-c6d43f0b498f	503.0
2018-08-14	8237bf33-d19c-4910-9206-c6d43f0b498f	68.0
2018-08-15	8237bf33-d19c-4910-9206-c6d43f0b498f	825.0
2018-08-16	8237bf33-d19c-4910-9206-c6d43f0b498f	535.0
2018-08-17	8237bf33-d19c-4910-9206-c6d43f0b498f	497.0
2018-08-18	8237bf33-d19c-4910-9206-c6d43f0b498f	594.0
2018-08-19	8237bf33-d19c-4910-9206-c6d43f0b498f	505.0
2018-08-20	8237bf33-d19c-4910-9206-c6d43f0b498f	535.0
2018-08-21	8237bf33-d19c-4910-9206-c6d43f0b498f	791.0
2018-08-22	8237bf33-d19c-4910-9206-c6d43f0b498f	857.0
2018-08-23	8237bf33-d19c-4910-9206-c6d43f0b498f	488.0
2018-08-24	8237bf33-d19c-4910-9206-c6d43f0b498f	552.0
2018-08-25	8237bf33-d19c-4910-9206-c6d43f0b498f	527.0
2018-08-26	8237bf33-d19c-4910-9206-c6d43f0b498f	553.0
2018-08-27	8237bf33-d19c-4910-9206-c6d43f0b498f	495.0
2018-08-28	8237bf33-d19c-4910-9206-c6d43f0b498f	666.0
2018-08-29	8237bf33-d19c-4910-9206-c6d43f0b498f	503.0
2018-08-30	8237bf33-d19c-4910-9206-c6d43f0b498f	566.0
2018-08-31	8237bf33-d19c-4910-9206-c6d43f0b498f	491.0
2018-09-01	8237bf33-d19c-4910-9206-c6d43f0b498f	636.0
2018-09-02	8237bf33-d19c-4910-9206-c6d43f0b498f	495.0
2018-09-03	8237bf33-d19c-4910-9206-c6d43f0b498f	56.0
2018-09-04	8237bf33-d19c-4910-9206-c6d43f0b498f	759.0
2018-09-05	8237bf33-d19c-4910-9206-c6d43f0b498f	639.0
2018-09-06	8237bf33-d19c-4910-9206-c6d43f0b498f	502.0
2018-09-07	8237bf33-d19c-4910-9206-c6d43f0b498f	537.0
2018-09-08	8237bf33-d19c-4910-9206-c6d43f0b498f	546.0
2018-09-09	8237bf33-d19c-4910-9206-c6d43f0b498f	541.0
2018-09-10	8237bf33-d19c-4910-9206-c6d43f0b498f	723.0
2018-09-11	8237bf33-d19c-4910-9206-c6d43f0b498f	614.0
2018-09-12	8237bf33-d19c-4910-9206-c6d43f0b498f	793.0
2018-09-13	8237bf33-d19c-4910-9206-c6d43f0b498f	537.0
2018-09-14	8237bf33-d19c-4910-9206-c6d43f0b498f	5.0
2018-09-15	8237bf33-d19c-4910-9206-c6d43f0b498f	594.0
2018-09-16	8237bf33-d19c-4910-9206-c6d43f0b498f	591.0
2018-09-17	8237bf33-d19c-4910-9206-c6d43f0b498f	536.0
2018-09-18	8237bf33-d19c-4910-9206-c6d43f0b498f	799.0
2018-09-19	8237bf33-d19c-4910-9206-c6d43f0b498f	649.0
2018-09-20	8237bf33-d19c-4910-9206-c6d43f0b498f	499.0
2018-09-21	8237bf33-d19c-4910-9206-c6d43f0b498f	534.0
2018-09-22	8237bf33-d19c-4910-9206-c6d43f0b498f	544.0
2018-09-23	8237bf33-d19c-4910-9206-c6d43f0b498f	53.0
2018-09-24	8237bf33-d19c-4910-9206-c6d43f0b498f	493.0
2018-09-25	8237bf33-d19c-4910-9206-c6d43f0b498f	702.0
2018-09-26	8237bf33-d19c-4910-9206-c6d43f0b498f	807.0
2018-09-27	8237bf33-d19c-4910-9206-c6d43f0b498f	565.0
2018-09-28	8237bf33-d19c-4910-9206-c6d43f0b498f	491.0
2018-09-29	8237bf33-d19c-4910-9206-c6d43f0b498f	637.0
2018-09-30	8237bf33-d19c-4910-9206-c6d43f0b498f	495.0
2018-10-01	8237bf33-d19c-4910-9206-c6d43f0b498f	559.0
2018-10-02	8237bf33-d19c-4910-9206-c6d43f0b498f	933.0
2018-10-03	8237bf33-d19c-4910-9206-c6d43f0b498f	845.0
2018-10-04	8237bf33-d19c-4910-9206-c6d43f0b498f	491.0
2018-10-05	8237bf33-d19c-4910-9206-c6d43f0b498f	562.0
2018-10-06	8237bf33-d19c-4910-9206-c6d43f0b498f	531.0
2018-10-07	8237bf33-d19c-4910-9206-c6d43f0b498f	558.0
2018-10-08	8237bf33-d19c-4910-9206-c6d43f0b498f	513.0
2018-10-09	8237bf33-d19c-4910-9206-c6d43f0b498f	783.0
2018-10-10	8237bf33-d19c-4910-9206-c6d43f0b498f	501.0
2018-10-11	8237bf33-d19c-4910-9206-c6d43f0b498f	538.0
2018-10-12	8237bf33-d19c-4910-9206-c6d43f0b498f	61.0
2018-10-13	8237bf33-d19c-4910-9206-c6d43f0b498f	602.0
2018-10-14	8237bf33-d19c-4910-9206-c6d43f0b498f	511.0
2018-10-15	8237bf33-d19c-4910-9206-c6d43f0b498f	544.0
2018-10-16	8237bf33-d19c-4910-9206-c6d43f0b498f	868.0
2018-10-17	8237bf33-d19c-4910-9206-c6d43f0b498f	623.0
2018-10-18	8237bf33-d19c-4910-9206-c6d43f0b498f	503.0
2018-10-19	8237bf33-d19c-4910-9206-c6d43f0b498f	546.0
2018-10-20	8237bf33-d19c-4910-9206-c6d43f0b498f	544.0
2018-10-21	8237bf33-d19c-4910-9206-c6d43f0b498f	543.0
2018-10-22	8237bf33-d19c-4910-9206-c6d43f0b498f	509.0
2018-10-23	8237bf33-d19c-4910-9206-c6d43f0b498f	61.0
2018-10-24	8237bf33-d19c-4910-9206-c6d43f0b498f	793.0
2018-10-25	8237bf33-d19c-4910-9206-c6d43f0b498f	555.0
2018-10-26	8237bf33-d19c-4910-9206-c6d43f0b498f	482.0
2018-10-27	8237bf33-d19c-4910-9206-c6d43f0b498f	624.0
2018-10-28	8237bf33-d19c-4910-9206-c6d43f0b498f	487.0
2018-10-29	8237bf33-d19c-4910-9206-c6d43f0b498f	555.0
2018-10-30	8237bf33-d19c-4910-9206-c6d43f0b498f	643.0
2018-10-31	8237bf33-d19c-4910-9206-c6d43f0b498f	65.0
2018-11-01	8237bf33-d19c-4910-9206-c6d43f0b498f	485.0
2018-11-02	8237bf33-d19c-4910-9206-c6d43f0b498f	558.0
2018-11-03	8237bf33-d19c-4910-9206-c6d43f0b498f	533.0
2018-11-04	8237bf33-d19c-4910-9206-c6d43f0b498f	559.0
2018-11-05	8237bf33-d19c-4910-9206-c6d43f0b498f	491.0
2018-11-06	8237bf33-d19c-4910-9206-c6d43f0b498f	684.0
2018-11-07	8237bf33-d19c-4910-9206-c6d43f0b498f	747.0
2018-11-08	8237bf33-d19c-4910-9206-c6d43f0b498f	534.0
2018-11-09	8237bf33-d19c-4910-9206-c6d43f0b498f	5.0
2018-11-10	8237bf33-d19c-4910-9206-c6d43f0b498f	601.0
2018-11-11	8237bf33-d19c-4910-9206-c6d43f0b498f	507.0
2018-11-12	8237bf33-d19c-4910-9206-c6d43f0b498f	543.0
2018-11-13	8237bf33-d19c-4910-9206-c6d43f0b498f	828.0
2018-11-14	8237bf33-d19c-4910-9206-c6d43f0b498f	638.0
2018-11-15	8237bf33-d19c-4910-9206-c6d43f0b498f	505.0
2018-11-16	8237bf33-d19c-4910-9206-c6d43f0b498f	537.0
2018-11-17	8237bf33-d19c-4910-9206-c6d43f0b498f	549.0
2018-11-18	8237bf33-d19c-4910-9206-c6d43f0b498f	541.0
2018-11-19	8237bf33-d19c-4910-9206-c6d43f0b498f	508.0
2018-11-20	8237bf33-d19c-4910-9206-c6d43f0b498f	641.0
2018-11-21	8237bf33-d19c-4910-9206-c6d43f0b498f	807.0
2018-11-22	8237bf33-d19c-4910-9206-c6d43f0b498f	538.0
2018-11-23	8237bf33-d19c-4910-9206-c6d43f0b498f	503.0
2018-11-24	8237bf33-d19c-4910-9206-c6d43f0b498f	599.0
2018-11-25	8237bf33-d19c-4910-9206-c6d43f0b498f	612.0
2018-11-26	8237bf33-d19c-4910-9206-c6d43f0b498f	535.0
2018-11-27	8237bf33-d19c-4910-9206-c6d43f0b498f	773.0
2018-11-28	8237bf33-d19c-4910-9206-c6d43f0b498f	689.0
2018-11-29	8237bf33-d19c-4910-9206-c6d43f0b498f	482.0
2018-11-30	8237bf33-d19c-4910-9206-c6d43f0b498f	554.0
2018-12-01	8237bf33-d19c-4910-9206-c6d43f0b498f	447.0
2018-12-02	8237bf33-d19c-4910-9206-c6d43f0b498f	559.0
2018-12-03	8237bf33-d19c-4910-9206-c6d43f0b498f	491.0
2018-12-04	8237bf33-d19c-4910-9206-c6d43f0b498f	559.0
2018-12-05	8237bf33-d19c-4910-9206-c6d43f0b498f	717.0
2018-12-06	8237bf33-d19c-4910-9206-c6d43f0b498f	561.0
2018-12-07	8237bf33-d19c-4910-9206-c6d43f0b498f	485.0
2018-12-08	8237bf33-d19c-4910-9206-c6d43f0b498f	619.0
2018-12-09	8237bf33-d19c-4910-9206-c6d43f0b498f	491.0
2018-12-10	8237bf33-d19c-4910-9206-c6d43f0b498f	56.0
2018-12-11	8237bf33-d19c-4910-9206-c6d43f0b498f	808.0
2018-12-12	8237bf33-d19c-4910-9206-c6d43f0b498f	575.0
