rollup_timestamp,database,value
2018-06-01,f651e31b-3792-4c7a-b5f2-7695ab9c68f3,303.0
2018-06-02,f651e31b-3792-4c7a-b5f2-7695ab9c68f3,79.0
2018-06-03,f651e31b-3792-4c7a-b5f2-7695ab9c68f3,139.0
2018-06-04,f651e31b-3792-4c7a-b5f2-7695ab9c68f3,964.0
2018-06-05,f651e31b-3792-4c7a-b5f2-7695ab9c68f3,361.0
2018-06-06,f651e31b-3792-4c7a-b5f2-7695ab9c68f3,124.0
2018-06-07,f651e31b-3792-4c7a-b5f2-7695ab9c68f3,215.0
2018-06-08,f651e31b-3792-4c7a-b5f2-7695ab9c68f3,836.0
2018-06-09,f651e31b-3792-4c7a-b5f2-7695ab9c68f3,132.0
2018-06-10,f651e31b-3792-4c7a-b5f2-7695ab9c68f3,585.0
2018-06-11,f651e31b-3792-4c7a-b5f2-7695ab9c68f3,634.0
2018-06-12,f651e31b-3792-4c7a-b5f2-7695ab9c68f3,78.0
2018-06-13,f651e31b-3792-4c7a-b5f2-7695ab9c68f3,19.0
2018-06-14,f651e31b-3792-4c7a-b5f2-7695ab9c68f3,314.0
2018-06-15,f651e31b-3792-4c7a-b5f2-7695ab9c68f3,419.0
2018-06-16,f651e31b-3792-4c7a-b5f2-7695ab9c68f3,94.0
2018-06-17,f651e31b-3792-4c7a-b5f2-7695ab9c68f3,469.0
2018-06-18,f651e31b-3792-4c7a-b5f2-7695ab9c68f3,149.0
2018-06-19,f651e31b-3792-4c7a-b5f2-7695ab9c68f3,361.0
2018-06-20,f651e31b-3792-4c7a-b5f2-7695ab9c68f3,343.0
2018-06-21,f651e31b-3792-4c7a-b5f2-7695ab9c68f3,775.0
2018-06-22,f651e31b-3792-4c7a-b5f2-7695ab9c68f3,15.0
2018-06-23,f651e31b-3792-4c7a-b5f2-7695ab9c68f3,911.0
2018-06-24,f651e31b-3792-4c7a-b5f2-7695ab9c68f3,83.0
2018-06-25,f651e31b-3792-4c7a-b5f2-7695ab9c68f3,734.0
2018-06-26,f651e31b-3792-4c7a-b5f2-7695ab9c68f3,245.0
2018-06-27,f651e31b-3792-4c7a-b5f2-7695ab9c68f3,114.0
2018-06-28,f651e31b-3792-4c7a-b5f2-7695ab9c68f3,663.0
2018-06-29,f651e31b-3792-4c7a-b5f2-7695ab9c68f3,57.0
2018-06-30,f651e31b-3792-4c7a-b5f2-7695ab9c68f3,285.0
2018-07-01,f651e31b-3792-4c7a-b5f2-7695ab9c68f3,723.0
2018-07-02,f651e31b-3792-4c7a-b5f2-7695ab9c68f3,123.0
2018-07-03,f651e31b-3792-4c7a-b5f2-7695ab9c68f3,522.0
2018-07-04,f651e31b-3792-4c7a-b5f2-7695ab9c68f3,49.0
2018-07-05,f651e31b-3792-4c7a-b5f2-7695ab9c68f3,52.0
2018-07-06,f651e31b-3792-4c7a-b5f2-7695ab9c68f3,321.0
